0.16: Dealer 1: Auto 0(Body: 0, Motor: 0, Accessory: 0)
21.41: Dealer 2: Auto 21(Body: 21, Motor: 21, Accessory: 17)
23.29: Dealer 1: Auto 22(Body: 22, Motor: 22, Accessory: 18)
23.29: Dealer 2: Auto 23(Body: 23, Motor: 23, Accessory: 19)
24.43: Dealer 0: Auto 24(Body: 24, Motor: 24, Accessory: 17)
25.7: Dealer 2: Auto 25(Body: 25, Motor: 25, Accessory: 20)
26.12: Dealer 0: Auto 26(Body: 26, Motor: 26, Accessory: 20)
27.4: Dealer 2: Auto 27(Body: 27, Motor: 27, Accessory: 22)
28.66: Dealer 1: Auto 28(Body: 28, Motor: 28, Accessory: 23)
29.24: Dealer 2: Auto 29(Body: 29, Motor: 29, Accessory: 22)
32.3: Dealer 1: Auto 30(Body: 30, Motor: 30, Accessory: 24)
36.36: Dealer 2: Auto 31(Body: 31, Motor: 31, Accessory: 24)
37.77: Dealer 0: Auto 32(Body: 32, Motor: 32, Accessory: 25)
38.87: Dealer 2: Auto 33(Body: 33, Motor: 33, Accessory: 26)
39.11: Dealer 1: Auto 34(Body: 34, Motor: 34, Accessory: 27)
40.78: Dealer 0: Auto 35(Body: 35, Motor: 35, Accessory: 28)
42.13: Dealer 0: Auto 36(Body: 36, Motor: 36, Accessory: 29)
46.85: Dealer 2: Auto 37(Body: 37, Motor: 37, Accessory: 30)
50.63: Dealer 0: Auto 38(Body: 40, Motor: 38, Accessory: 31)
54.81: Dealer 2: Auto 39(Body: 43, Motor: 39, Accessory: 32)
58.08: Dealer 2: Auto 40(Body: 44, Motor: 40, Accessory: 33)
62.19: Dealer 1: Auto 41(Body: 45, Motor: 41, Accessory: 33)
67.33: Dealer 1: Auto 42(Body: 46, Motor: 42, Accessory: 34)
70.49: Dealer 0: Auto 43(Body: 47, Motor: 43, Accessory: 35)
74.47: Dealer 2: Auto 44(Body: 48, Motor: 44, Accessory: 36)
77.33: Dealer 1: Auto 45(Body: 49, Motor: 45, Accessory: 37)
80.49: Dealer 0: Auto 46(Body: 39, Motor: 46, Accessory: 37)
84.47: Dealer 2: Auto 47(Body: 50, Motor: 47, Accessory: 38)
87.33: Dealer 1: Auto 48(Body: 38, Motor: 48, Accessory: 37)
90.49: Dealer 0: Auto 49(Body: 52, Motor: 49, Accessory: 39)
94.48: Dealer 2: Auto 50(Body: 41, Motor: 50, Accessory: 40)
97.33: Dealer 1: Auto 51(Body: 54, Motor: 51, Accessory: 41)
100.49: Dealer 0: Auto 52(Body: 55, Motor: 52, Accessory: 42)
104.48: Dealer 2: Auto 53(Body: 56, Motor: 53, Accessory: 43)
107.34: Dealer 1: Auto 54(Body: 58, Motor: 54, Accessory: 44)
0.01: Dealer 2: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.03: Dealer 1: Auto 1(Body: 1, Motor: 1, Accessory: 1)
2.15: Dealer 0: Auto 2(Body: 2, Motor: 2, Accessory: 2)
3.4: Dealer 2: Auto 3(Body: 3, Motor: 3, Accessory: 3)
4.02: Dealer 1: Auto 4(Body: 4, Motor: 4, Accessory: 4)
5.18: Dealer 2: Auto 5(Body: 5, Motor: 5, Accessory: 5)
6.19: Dealer 1: Auto 6(Body: 6, Motor: 6, Accessory: 6)
7.21: Dealer 2: Auto 7(Body: 7, Motor: 7, Accessory: 7)
8.07: Dealer 0: Auto 8(Body: 8, Motor: 8, Accessory: 8)
9.19: Dealer 1: Auto 9(Body: 9, Motor: 9, Accessory: 9)
11.77: Dealer 2: Auto 11(Body: 11, Motor: 11, Accessory: 11)
11.77: Dealer 1: Auto 10(Body: 10, Motor: 10, Accessory: 10)
13.54: Dealer 2: Auto 13(Body: 13, Motor: 13, Accessory: 13)
13.54: Dealer 1: Auto 12(Body: 12, Motor: 12, Accessory: 12)
14.05: Dealer 0: Auto 14(Body: 14, Motor: 14, Accessory: 14)
15.54: Dealer 2: Auto 15(Body: 15, Motor: 15, Accessory: 15)
16.05: Dealer 0: Auto 16(Body: 16, Motor: 16, Accessory: 16)
0.07: Dealer 2: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.05: Dealer 1: Auto 1(Body: 1, Motor: 1, Accessory: 1)
2.05: Dealer 2: Auto 2(Body: 2, Motor: 2, Accessory: 2)
4.65: Dealer 1: Auto 3(Body: 3, Motor: 3, Accessory: 3)
4.71: Dealer 2: Auto 4(Body: 4, Motor: 4, Accessory: 4)
5.06: Dealer 0: Auto 5(Body: 5, Motor: 5, Accessory: 5)
6.38: Dealer 2: Auto 6(Body: 6, Motor: 6, Accessory: 6)
7.4: Dealer 1: Auto 7(Body: 7, Motor: 7, Accessory: 7)
8.27: Dealer 0: Auto 8(Body: 8, Motor: 8, Accessory: 8)
9.03: Dealer 1: Auto 9(Body: 9, Motor: 9, Accessory: 9)
10.14: Dealer 2: Auto 10(Body: 10, Motor: 10, Accessory: 10)
12.01: Dealer 0: Auto 12(Body: 12, Motor: 12, Accessory: 11)
12.01: Dealer 2: Auto 11(Body: 11, Motor: 11, Accessory: 10)
13.08: Dealer 2: Auto 13(Body: 13, Motor: 13, Accessory: 12)
14.66: Dealer 0: Auto 14(Body: 14, Motor: 14, Accessory: 13)
15.07: Dealer 2: Auto 15(Body: 15, Motor: 15, Accessory: 14)
16.52: Dealer 1: Auto 16(Body: 16, Motor: 16, Accessory: 15)
17.24: Dealer 2: Auto 17(Body: 17, Motor: 17, Accessory: 16)
18.34: Dealer 0: Auto 18(Body: 18, Motor: 18, Accessory: 17)
19.17: Dealer 1: Auto 19(Body: 19, Motor: 19, Accessory: 18)
20.04: Dealer 0: Auto 20(Body: 20, Motor: 20, Accessory: 19)
21.13: Dealer 1: Auto 21(Body: 21, Motor: 21, Accessory: 20)
22.2: Dealer 2: Auto 22(Body: 22, Motor: 22, Accessory: 21)
23.18: Dealer 1: Auto 23(Body: 23, Motor: 23, Accessory: 22)
24.04: Dealer 2: Auto 24(Body: 24, Motor: 24, Accessory: 23)
25.03: Dealer 0: Auto 25(Body: 25, Motor: 25, Accessory: 24)
26.12: Dealer 2: Auto 26(Body: 26, Motor: 26, Accessory: 24)
27.57: Dealer 1: Auto 27(Body: 27, Motor: 27, Accessory: 26)
28.17: Dealer 2: Auto 28(Body: 28, Motor: 28, Accessory: 27)
29.2: Dealer 1: Auto 29(Body: 29, Motor: 29, Accessory: 28)
30.23: Dealer 2: Auto 30(Body: 30, Motor: 30, Accessory: 29)
31.19: Dealer 0: Auto 31(Body: 31, Motor: 31, Accessory: 29)
32.12: Dealer 1: Auto 32(Body: 32, Motor: 32, Accessory: 30)
0.07: Dealer 1: Auto 0(Body: 0, Motor: 0, Accessory: 0)
1.08: Dealer 2: Auto 1(Body: 1, Motor: 1, Accessory: 4)
2.05: Dealer 1: Auto 2(Body: 2, Motor: 2, Accessory: 3)
3.68: Dealer 2: Auto 3(Body: 3, Motor: 3, Accessory: 2)
4.27: Dealer 0: Auto 4(Body: 4, Motor: 4, Accessory: 1)
5.0: Dealer 1: Auto 5(Body: 5, Motor: 5, Accessory: 5)
6.68: Dealer 2: Auto 6(Body: 6, Motor: 6, Accessory: 6)
9.01: Dealer 0: Auto 7(Body: 7, Motor: 7, Accessory: 7)
9.57: Dealer 1: Auto 8(Body: 8, Motor: 8, Accessory: 8)
10.21: Dealer 2: Auto 9(Body: 9, Motor: 9, Accessory: 9)
10.21: Dealer 0: Auto 10(Body: 10, Motor: 10, Accessory: 10)
11.01: Dealer 1: Auto 11(Body: 11, Motor: 11, Accessory: 11)
12.21: Dealer 0: Auto 12(Body: 12, Motor: 12, Accessory: 12)
13.52: Dealer 2: Auto 13(Body: 13, Motor: 13, Accessory: 13)
14.73: Dealer 0: Auto 14(Body: 14, Motor: 14, Accessory: 14)
15.13: Dealer 2: Auto 15(Body: 15, Motor: 15, Accessory: 15)
17.02: Dealer 2: Auto 17(Body: 17, Motor: 17, Accessory: 15)
17.02: Dealer 0: Auto 16(Body: 16, Motor: 16, Accessory: 16)
18.32: Dealer 2: Auto 18(Body: 18, Motor: 18, Accessory: 17)
19.7: Dealer 1: Auto 19(Body: 19, Motor: 19, Accessory: 18)
20.12: Dealer 0: Auto 20(Body: 20, Motor: 20, Accessory: 19)
21.15: Dealer 1: Auto 21(Body: 21, Motor: 21, Accessory: 20)
22.71: Dealer 2: Auto 22(Body: 22, Motor: 22, Accessory: 21)
24.04: Dealer 2: Auto 24(Body: 24, Motor: 24, Accessory: 23)
24.04: Dealer 1: Auto 23(Body: 23, Motor: 23, Accessory: 22)
26.88: Dealer 0: Auto 26(Body: 26, Motor: 26, Accessory: 25)
26.88: Dealer 2: Auto 25(Body: 25, Motor: 25, Accessory: 24)
27.15: Dealer 1: Auto 27(Body: 27, Motor: 27, Accessory: 26)
28.08: Dealer 0: Auto 28(Body: 28, Motor: 28, Accessory: 27)
29.37: Dealer 1: Auto 29(Body: 29, Motor: 29, Accessory: 28)
30.12: Dealer 2: Auto 30(Body: 30, Motor: 30, Accessory: 29)
31.15: Dealer 1: Auto 31(Body: 31, Motor: 31, Accessory: 29)
32.28: Dealer 2: Auto 32(Body: 32, Motor: 32, Accessory: 30)
